OE0014,Stno,XStno,Chipno,Database Id,Surname,First name,YB,S,Block,nc,Start,Finish,Time,Classifier,Credit -,Penalty +,Comment,Club no.,Cl.name,City,Nat,Location,Region,Cl. no.,Short,Long,Entry cl. No,Entry class (short),Entry class (long),Rank,Ranking points,Num1,Num2,Num3,Text1,Text2,Text3,Addr. surname,Addr. first name,Street,Line2,Zip,Addr. city,Phone,Mobile,Fax,EMail,Rented,Start fee,Paid,Team,Course no.,Course,km,m,Course controls,Place,Start punch,Finish punch,Control1,Punch1,Control2,Punch2,Control3,Punch3,Control4,Punch4,Control5,Punch5,Control6,Punch6,Control7,Punch7,Control8,Punch8,Control9,Punch9,Control10,Punch10,Control11,Punch11,Control12,Punch12,Control13,Punch13,Control14,Punch14,Control15,Punch15,Control16,Punch16,Control17,Punch17,Control18,Punch18,Control19,Punch19,Control20,Punch20,Control21,Punch21,Control22,Punch22,Control23,Punch23,Control24,Punch24,Control25,Punch25,Control26,Punch26,Control27,Punch27,Control28,Punch28,Control29,Punch29,Control30,Punch30,Control31,Punch31,Control32,Punch32,Control33,Punch33,Control34,Punch34,Control35,Punch35,Control36,Punch36,Control37,Punch37,Control38,Punch38,Control39,Punch39,Control40,Punch40,Control41,Punch41,Control42,Punch42,Control43,Punch43,Control44,Punch44,Control45,Punch45,Control46,Punch46,Control47,Punch47,Control48,Punch48,Control49,Punch49,Control50,Punch50,Control51,Punch51,Control52,Punch52,Control53,Punch53,Control54,Punch54,Control55,Punch55,Control56,Punch56,Control57,Punch57,Control58,Punch58,Control59,Punch59,Control60,Punch60,Control61,Punch61,Control62,Punch62,Control63,Punch63,Control64,Punch64
,1,,,,Powers,Samanta,,F,,,,,1:03:14,0,,,,,,,,,,,FYellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,Glover,David,,M,,,,,1:10:13,0,,,,,,,,,,,MYellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,Perkins,Jarrett,,M,,,,,48:09,3,,,,,,,,,,,MYellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,Lin,Carson,,M,,,,,1:47:16,0,,,,,,,,,,,ISJVM,,,,,,,,,,Navy,Xavier  HS,Xavier  JV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,Nash,Echevarria Davis,,M,,,,,23:23,0,,,,,,,,,,,GrpWhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,Rocha,Daniel,,M,,,,,1:11:20,0,,,,,,,,,,,MYellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,Calderon,Dylan,,M,,,,,49:53,0,,,,,,,,,,,ISJVM,,,,,,,,,,Navy,Xavier  HS,Xavier  JV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,,,Guzman,Garrett,,M,,,,,1:42:34,0,,,,,,,,,,,ISVM,,,,,,,,,,Navy,Xavier  HS,Xavier  Varsity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,,,,Green,Joshua,,M,,,,,38:57,0,,,,,,,,,,,MYellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,,,,Castro,Alison,,F,,,,,1:04:35,0,,,,,,,,,,,FYellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,,,,Stevenson,Cameron,,M,,,,,43:04,0,,,,,,,,,,,MYellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,,,,Farley,Stephen,,M,,,,,1:47:09,0,,,,,,,,,,,ISVM,,,,,,,,,,Navy,Xavier  HS,Xavier  Varsity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,,,,Rice,Justin,,M,,,,,1:54:18,0,,,,,,,,,,,ISJVM,,,,,,,,,,Navy,Xavier  HS,Xavier  JV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,,,,Taylor,Alex,,M,,,,,1:20:42,0,,,,,,,,,,,ISJVM,,,,,,,,,,Navy,Xavier  HS,Xavier  JV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
